id,good_ingredients,bad_ingredients
448,"['glycerin', 'sodium hyaluronate', 'ethylhexyl glycerin']",['dipropylene glycol']
449,"['glycerin', 'sodium hyaluronate']",[]
450,"['glycerin', 'centella asiatica extract', 'allantoin', 'panthenol', 'ethylhexyl glycerin']",['dipropylene glycol']
451,"['glycerin', 'centella asiatica extract', 'ethylhexyl glycerin', 'allantoin', 'sodium hyaluronate']",['dipropylene glycol']
452,"['glycerin', 'tocopherol']",[]
453,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
454,"['niacinamide', 'glycerin', 'centella asiatica extract', 'ethylhexyl glycerin', 'sodium hyaluronate']","['dipropylene glycol', 'propylene glycol']"
455,"['glycerin', 'centella asiatica extract', 'panthenol', 'ethylhexyl glycerin', 'allantoin', 'sodium hyaluronate']",['dipropylene glycol']
456,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
457,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
458,"['glycerin', 'tocopherol']",[]
459,"['glycerin', 'ethylhexyl glycerin', 'sodium hyaluronate', 'tocopherol', 'titanium dioxide']",[]
460,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
461,"['glycerin', 'centella asiatica extract', 'ethylhexyl glycerin']","['dipropylene glycol', 'propylene glycol']"
462,"['panthenol', 'glycerin', 'titanium dioxide', 'titanium dioxide', 'tocopherol']",[]
463,"['glycerin', 'capryloyl glycerin/sebacic acid copolymer', 'tocopherol', 'allantoin', 'sodium hyaluronate', 'panthenol']",[]
464,"['glycerin', 'panthenol', 'tocopherol', 'allantoin', 'ethylhexyl glycerin']",[]
465,"['glycerin', 'tocopherol', 'sodium hyaluronate', 'panthenol', 'allantoin']",[]
466,"['glycerin', 'centella asiatica extract', 'allantoin', 'panthenol', 'ethylhexyl glycerin']",['dipropylene glycol']
467,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
468,"['glycerin', 'sodium hyaluronate']",[]
469,['glycerin'],[]
470,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
471,"['glycerin', 'sodium hyaluronate']",['propylene glycol']
472,['marine collagen'],[]
473,"['glycerin', 'niacinamide', 'titanium dioxide', 'sodium hyaluronate', 'allantoin']",[]
474,"['glycerin', 'panthenol', 'sodium hyaluronate', 'ethylhexyl glycerin', 'tocopherol', 'titanium dioxide']",[]
475,['glycerin'],[]
